# Per-node clock delay, fitted by ClkNodeFit
# part: xcv80-lsva4737-2MHP-e-S
# term slow_max_ps slow_min_ps

clock_deskew vdistr extent

clock_node_delay  # trunk node instance + leaf type
CLK_GT_SSIT_AAA_TILE_X0Y575/CLKE2_PD_OPT_DELAY_SSIT_#_I 145.11 136.33
CLK_GT_SSIT_AAA_TILE_X0Y863/CLKE2_PD_OPT_DELAY_SSIT_#_I 161.94 153.93
CLK_GT_SSIT_BBA_TILE_X0Y479/CLKE2_PD_OPT_DELAY_SSIT_#_I 132.43 124.37
CLK_GT_SSIT_BBA_TILE_X0Y767/CLKE2_PD_OPT_DELAY_SSIT_#_I 137.64 131.42
CLK_GT_SSIT_CCA_TILE_X0Y288/CLKE2_PD_OPT_DELAY_SSIT_#_I 158.39 149.96
CLK_REBUF_BUFGS_HSR_CORE/CLK_CMT_MUX_#_ENC_#_CLK_OUT 166.03 146.97
CLK_REBUF_BUFGS_HSR_CORE_1_X0Y0/CLK_BUFGCE_#_O 39.48 33.66
CLK_REBUF_BUFGS_HSR_CORE_1_X0Y0/CLK_BUFGCE_#_O_PIN 39.48 33.66
CLK_REBUF_BUFGS_HSR_CORE_1_X0Y0/CLK_HROUTE_1_# 92.00 78.16
CLK_REBUF_BUFGS_HSR_CORE_X0Y0/CLK_BUFGCE_#_O 52.52 44.50
CLK_REBUF_BUFGS_HSR_CORE_X0Y0/CLK_BUFGCE_#_O_PIN 52.52 44.50
CLK_REBUF_BUFGS_HSR_CORE_X0Y0/CLK_HROUTE_1_# 52.52 44.50
CLK_REBUF_BUFGS_HSR_CORE_X106Y0/CLK_BUFGCE_#_O -27.31 -24.78
CLK_REBUF_BUFGS_HSR_CORE_X106Y0/CLK_BUFGCE_#_O_PIN -27.31 -24.78
CLK_REBUF_BUFGS_HSR_CORE_X106Y0/CLK_HROUTE_1_# 9.13 3.82
CLK_REBUF_BUFGS_HSR_CORE_X116Y0/CLK_BUFGCE_#_O 36.44 28.60
CLK_REBUF_BUFGS_HSR_CORE_X116Y0/CLK_BUFGCE_#_O_PIN 36.44 28.60
CLK_REBUF_BUFGS_HSR_CORE_X21Y0/CLK_BUFGCE_#_O 38.66 37.89
CLK_REBUF_BUFGS_HSR_CORE_X21Y0/CLK_BUFGCE_#_O_PIN 38.66 37.89
CLK_REBUF_BUFGS_HSR_CORE_X31Y0/CLK_BUFGCE_#_O -17.02 -13.32
CLK_REBUF_BUFGS_HSR_CORE_X31Y0/CLK_BUFGCE_#_O_PIN -17.02 -13.32
CLK_REBUF_BUFGS_HSR_CORE_X31Y0/CLK_HROUTE_1_# 104.31 80.47
