# Horizontal wire delay corrections by (template, tile column),
# relative to the RC model. Rows are uniform; x is not.
# key corr_slow_max_ps corr_slow_min_ps samples

hwire_corr
NODE_HDOUBLE:OUT_EE#_E_BEG#@103 -6.6 -1.2 7
NODE_HDOUBLE:OUT_EE#_E_BEG#@107 -6.8 -2.3 31
NODE_HDOUBLE:OUT_EE#_E_BEG#@111 7.7 3.9 34
NODE_HDOUBLE:OUT_EE#_E_BEG#@115 6.7 2.7 28
NODE_HDOUBLE:OUT_EE#_E_BEG#@120 1.7 1.7 41
NODE_HDOUBLE:OUT_EE#_E_BEG#@124 9.6 5.8 43
NODE_HDOUBLE:OUT_EE#_E_BEG#@128 35.3 25.6 2
NODE_HDOUBLE:OUT_EE#_E_BEG#@133 37.4 24.8 9
NODE_HDOUBLE:OUT_EE#_E_BEG#@139 -10.0 -5.7 43
NODE_HDOUBLE:OUT_EE#_E_BEG#@144 7.4 5.5 31
NODE_HDOUBLE:OUT_EE#_E_BEG#@148 23.8 21.7 5
NODE_HDOUBLE:OUT_EE#_E_BEG#@153 17.4 13.0 12
NODE_HDOUBLE:OUT_EE#_E_BEG#@158 -5.4 -2.1 40
NODE_HDOUBLE:OUT_EE#_E_BEG#@163 2.3 2.8 33
NODE_HDOUBLE:OUT_EE#_E_BEG#@167 0.7 5.7 3
NODE_HDOUBLE:OUT_EE#_E_BEG#@172 -19.5 -12.8 11
NODE_HDOUBLE:OUT_EE#_E_BEG#@177 -5.3 -1.8 24
NODE_HDOUBLE:OUT_EE#_E_BEG#@181 58.7 36.5 1
NODE_HDOUBLE:OUT_EE#_E_BEG#@186 31.8 20.9 32
NODE_HDOUBLE:OUT_EE#_E_BEG#@192 3.2 0.5 30
NODE_HDOUBLE:OUT_EE#_E_BEG#@197 2.9 2.6 24
NODE_HDOUBLE:OUT_EE#_E_BEG#@201 -15.0 -9.5 12
NODE_HDOUBLE:OUT_EE#_E_BEG#@206 -16.9 -11.6 30
NODE_HDOUBLE:OUT_EE#_E_BEG#@211 -0.8 -0.2 27
NODE_HDOUBLE:OUT_EE#_E_BEG#@215 26.8 21.0 4
NODE_HDOUBLE:OUT_EE#_E_BEG#@220 -0.6 0.5 45
NODE_HDOUBLE:OUT_EE#_E_BEG#@225 -5.9 -4.4 38
NODE_HDOUBLE:OUT_EE#_E_BEG#@230 3.1 0.1 19
NODE_HDOUBLE:OUT_EE#_E_BEG#@234 -13.5 -6.7 14
NODE_HDOUBLE:OUT_EE#_E_BEG#@239 -21.4 -13.9 38
NODE_HDOUBLE:OUT_EE#_E_BEG#@244 4.2 2.5 46
NODE_HDOUBLE:OUT_EE#_E_BEG#@248 44.5 29.4 5
NODE_HDOUBLE:OUT_EE#_E_BEG#@253 34.7 21.8 21
NODE_HDOUBLE:OUT_EE#_E_BEG#@259 -8.5 -3.8 50
NODE_HDOUBLE:OUT_EE#_E_BEG#@264 2.0 2.7 40
NODE_HDOUBLE:OUT_EE#_E_BEG#@268 5.8 9.3 3
NODE_HDOUBLE:OUT_EE#_E_BEG#@273 -15.7 -7.6 12
NODE_HDOUBLE:OUT_EE#_E_BEG#@278 -2.2 -0.2 30
NODE_HDOUBLE:OUT_EE#_E_BEG#@282 24.8 17.6 3
NODE_HDOUBLE:OUT_EE#_E_BEG#@287 17.3 10.6 34
NODE_HDOUBLE:OUT_EE#_E_BEG#@292 4.0 1.9 33
NODE_HDOUBLE:OUT_EE#_E_BEG#@297 4.2 3.3 36
NODE_HDOUBLE:OUT_EE#_E_BEG#@301 -8.7 -4.7 12
NODE_HDOUBLE:OUT_EE#_E_BEG#@306 -17.5 -11.3 34
NODE_HDOUBLE:OUT_EE#_E_BEG#@311 1.8 1.7 37
NODE_HDOUBLE:OUT_EE#_E_BEG#@315 44.7 29.9 8
NODE_HDOUBLE:OUT_EE#_E_BEG#@320 33.9 23.1 48
NODE_HDOUBLE:OUT_EE#_E_BEG#@326 -7.1 -6.2 50
NODE_HDOUBLE:OUT_EE#_E_BEG#@331 6.2 2.7 20
NODE_HDOUBLE:OUT_EE#_E_BEG#@335 -11.3 -5.3 13
NODE_HDOUBLE:OUT_EE#_E_BEG#@340 -17.1 -11.1 48
NODE_HDOUBLE:OUT_EE#_E_BEG#@345 -5.9 -2.7 44
NODE_HDOUBLE:OUT_EE#_E_BEG#@349 21.2 15.1 5
NODE_HDOUBLE:OUT_EE#_E_BEG#@354 1.1 0.8 19
NODE_HDOUBLE:OUT_EE#_E_BEG#@359 -6.3 -2.5 49
NODE_HDOUBLE:OUT_EE#_E_BEG#@364 3.3 4.0 39
NODE_HDOUBLE:OUT_EE#_E_BEG#@368 3.1 7.5 3
NODE_HDOUBLE:OUT_EE#_E_BEG#@373 -22.1 -12.4 13
NODE_HDOUBLE:OUT_EE#_E_BEG#@378 -2.6 -0.1 30
NODE_HDOUBLE:OUT_EE#_E_BEG#@382 42.3 29.2 4
NODE_HDOUBLE:OUT_EE#_E_BEG#@387 39.5 25.7 36
