# Intra-site net delay by site type and BEL pins, generated by IntraSiteDelayTable
# Delays in picoseconds at the slow corner.
# site_type from_bel/pin to_bel/pin slow_max_ps slow_min_ps samples

intrasite_delay
DSP58 DSP_ALUADD/ALUMODE10 DSP_OUTPUT/ALUMODE10 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_0_ DSP_OUTPUT/ALU_OUT_0_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_0_ DSP_PATDET/ALU_OUT_0_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_14_ DSP_OUTPUT/ALU_OUT_14_ 0 0 3
DSP58 DSP_ALUADD/ALU_OUT_14_ DSP_PATDET/ALU_OUT_14_ 0 0 3
DSP58 DSP_ALUADD/ALU_OUT_15_ DSP_OUTPUT/ALU_OUT_15_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_15_ DSP_PATDET/ALU_OUT_15_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_16_ DSP_OUTPUT/ALU_OUT_16_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_16_ DSP_PATDET/ALU_OUT_16_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_17_ DSP_OUTPUT/ALU_OUT_17_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_17_ DSP_PATDET/ALU_OUT_17_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_19_ DSP_OUTPUT/ALU_OUT_19_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_19_ DSP_PATDET/ALU_OUT_19_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_21_ DSP_OUTPUT/ALU_OUT_21_ 0 0 2
DSP58 DSP_ALUADD/ALU_OUT_21_ DSP_PATDET/ALU_OUT_21_ 0 0 2
DSP58 DSP_ALUADD/ALU_OUT_22_ DSP_OUTPUT/ALU_OUT_22_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_22_ DSP_PATDET/ALU_OUT_22_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_27_ DSP_OUTPUT/ALU_OUT_27_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_27_ DSP_PATDET/ALU_OUT_27_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_28_ DSP_OUTPUT/ALU_OUT_28_ 0 0 2
DSP58 DSP_ALUADD/ALU_OUT_28_ DSP_PATDET/ALU_OUT_28_ 0 0 2
DSP58 DSP_ALUADD/ALU_OUT_29_ DSP_OUTPUT/ALU_OUT_29_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_29_ DSP_PATDET/ALU_OUT_29_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_2_ DSP_OUTPUT/ALU_OUT_2_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_2_ DSP_PATDET/ALU_OUT_2_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_34_ DSP_OUTPUT/ALU_OUT_34_ 0 0 2
DSP58 DSP_ALUADD/ALU_OUT_34_ DSP_PATDET/ALU_OUT_34_ 0 0 2
DSP58 DSP_ALUADD/ALU_OUT_35_ DSP_OUTPUT/ALU_OUT_35_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_35_ DSP_PATDET/ALU_OUT_35_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_36_ DSP_OUTPUT/ALU_OUT_36_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_36_ DSP_PATDET/ALU_OUT_36_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_39_ DSP_OUTPUT/ALU_OUT_39_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_39_ DSP_PATDET/ALU_OUT_39_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_41_ DSP_OUTPUT/ALU_OUT_41_ 0 0 2
DSP58 DSP_ALUADD/ALU_OUT_41_ DSP_PATDET/ALU_OUT_41_ 0 0 2
DSP58 DSP_ALUADD/ALU_OUT_42_ DSP_OUTPUT/ALU_OUT_42_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_42_ DSP_PATDET/ALU_OUT_42_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_47_ DSP_OUTPUT/ALU_OUT_47_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_47_ DSP_PATDET/ALU_OUT_47_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_48_ DSP_OUTPUT/ALU_OUT_48_ 0 0 2
DSP58 DSP_ALUADD/ALU_OUT_48_ DSP_PATDET/ALU_OUT_48_ 0 0 2
DSP58 DSP_ALUADD/ALU_OUT_49_ DSP_OUTPUT/ALU_OUT_49_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_49_ DSP_PATDET/ALU_OUT_49_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_4_ DSP_OUTPUT/ALU_OUT_4_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_4_ DSP_PATDET/ALU_OUT_4_ 0 0 1
DSP58 DSP_ALUADD/ALU_OUT_53_ DSP_OUTPUT/ALU_OUT_53_ 0 0 1
