# Per-node-type interconnect delay, fitted by NetDelayFit
# part: xcv80-lsva4737-2MHP-e-S
# intent_code slow_max_ps slow_min_ps

node_delay
BRANCHES_PASSED 7.21 2.73
NET_FANOUT 0.28 0.22
NODE_CLE_BNODE 59.62 47.91
NODE_CLE_CNODE 43.76 39.58
NODE_CLE_CTRL -13.71 2.02
NODE_CLE_OUTPUT 38.42 22.22
NODE_HDOUBLE 23.94 15.50
NODE_HLONG10 165.49 112.01
NODE_HLONG6 113.94 88.17
NODE_HQUAD 55.98 42.04
NODE_HSINGLE -6.51 -4.23
NODE_IMUX -7.41 2.00
NODE_INODE 31.27 30.01
NODE_PINBOUNCE 38.67 28.00
NODE_PINFEED 19.21 11.11
NODE_SDQNODE 60.02 47.02
NODE_VDOUBLE -5.84 -3.16
NODE_VLONG12 71.26 59.98
NODE_VLONG7 55.69 48.52
NODE_VQUAD 9.31 7.66
NODE_VSINGLE -16.87 -10.80

